EmployeeNumber,Attrition,MonthlyIncome,OverTime,WorkLifeBalance,JobSatisfaction,EnvironmentSatisfaction,TotalWorkingYears,YearsAtCompany,Department,JobRole,Gender,Attrition_Flag
1,Yes,5993,Yes,1,4,2,8,6,Sales,Sales Executive,Female,1
2,No,5130,No,3,2,3,10,10,Research & Development,Research Scientist,Male,0
3,Yes,2090,Yes,3,3,4,7,0,Research & Development,Laboratory Technician,Male,1
4,No,2909,Yes,3,3,4,8,8,Research & Development,Research Scientist,Female,0
5,No,3468,No,3,2,1,6,2,Research & Development,Laboratory Technician,Male,0
6,No,3068,No,2,4,4,8,7,Research & Development,Laboratory Technician,Male,0
7,No,2670,Yes,2,1,3,12,1,Research & Development,Laboratory Technician,Female,0
8,No,2693,No,3,3,4,1,1,Research & Development,Laboratory Technician,Male,0
9,No,9526,No,3,3,4,10,9,Research & Development,Manufacturing Director,Male,0
10,No,5237,No,2,3,3,17,7,Research & Development,Healthcare Representative,Male,0
11,No,2426,No,3,2,1,6,5,Research & Development,Laboratory Technician,Male,0
12,No,4193,Yes,3,3,4,10,9,Research & Development,Laboratory Technician,Female,0
13,No,2911,No,2,3,1,5,5,Research & Development,Research Scientist,Male,0
14,No,2661,No,3,4,2,3,2,Research & Development,Laboratory Technician,Male,0
15,Yes,2028,Yes,3,3,3,6,4,Research & Development,Laboratory Technician,Male,1
16,No,9980,No,3,1,2,10,10,Research & Development,Manufacturing Director,Female,0
17,No,3298,Yes,2,2,1,7,6,Research & Development,Research Scientist,Male,0
18,No,2935,Yes,2,4,4,1,1,Research & Development,Laboratory Technician,Male,0
19,No,15427,No,3,4,1,31,25,Sales,Manager,Female,0
20,No,3944,Yes,3,4,4,6,3,Research & Development,Research Scientist,Male,0
21,No,4011,No,2,3,1,5,4,Research & Development,Manufacturing Director,Female,0
22,Yes,3407,No,3,1,3,10,5,Sales,Sales Representative,Male,1
23,No,11994,No,3,2,1,13,12,Research & Development,Research Director,Female,0
24,No,1232,No,3,4,3,0,0,Research & Development,Research Scientist,Male,0
25,Yes,2960,No,3,1,2,8,4,Research & Development,Research Scientist,Male,1
26,No,19094,No,2,3,3,26,14,Research & Development,Manager,Female,0
27,Yes,3919,Yes,3,1,2,10,10,Research & Development,Research Scientist,Female,1
28,No,6825,No,3,2,3,10,9,Sales,Sales Executive,Male,0
29,No,10248,No,3,4,1,24,22,Research & Development,Healthcare Representative,Female,0
30,No,18947,No,2,1,2,22,2,Sales,Manager,Female,0
31,No,2496,No,3,4,3,7,1,Research & Development,Laboratory Technician,Male,0
32,No,6465,Yes,4,4,4,9,4,Research & Development,Healthcare Representative,Male,0
33,No,2206,No,3,3,4,10,10,Research & Development,Laboratory Technician,Male,0
34,Yes,2086,No,4,4,4,19,1,Sales,Sales Representative,Male,1
35,Yes,2293,Yes,2,4,2,6,2,Research & Development,Research Scientist,Male,1
36,No,2645,No,2,3,4,6,5,Research & Development,Research Scientist,Female,0
37,Yes,2683,Yes,3,3,1,3,3,Sales,Sales Representative,Male,1
38,No,2014,No,3,4,4,2,2,Sales,Sales Representative,Female,0
39,No,3419,Yes,4,1,2,6,1,Research & Development,Research Scientist,Female,0
40,No,5376,No,3,1,3,10,5,Sales,Sales Executive,Female,0
41,No,1951,No,3,4,3,1,1,Research & Development,Laboratory Technician,Male,0
42,No,2341,No,3,1,4,1,1,Research & Development,Laboratory Technician,Female,0
43,Yes,2293,No,2,3,1,1,1,Research & Development,Laboratory Technician,Male,1
44,No,8726,No,3,3,4,9,9,Sales,Sales Executive,Male,0
45,No,4011,No,3,4,3,12,12,Research & Development,Laboratory Technician,Female,0
46,Yes,19545,No,3,3,2,23,22,Research & Development,Research Director,Female,1
47,No,4568,No,3,3,2,10,9,Sales,Sales Executive,Male,0
48,No,3022,No,3,2,2,8,1,Research & Development,Research Scientist,Male,0
49,No,5772,Yes,3,4,1,14,9,Sales,Sales Executive,Male,0
50,No,2269,No,3,4,4,1,1,Research & Development,Laboratory Technician,Male,0
